Filter Set,Message Name,Message Subject,Matched,Refunded,Refunded %,Emails Sent,Emails Opened,Emails Opened %,Emails Clicked,Emails Clicked %,Emails Marked Spam %,Emails Bounced %,Emails Unsubscribed %,Revenue,Revenue from Emails,Emails Cost,Profit from Emails
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0226_06A-3850,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"52,812",577,1.09,244,42.29,0,3.53,0,144,41.94,36.44,"5.5,046,153,846,154"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0228_02A-3890,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"40,022",316,0.79,146,46.2,0,3.91,0.01,144,41.94,27.62,"14.324,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0303_02A-3921,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"97,945","1,272",1.3,305,23.98,0,2.85,0,144,41.94,67.58,"-25.635,384,615,385"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0305_14A-3949,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"57,595","1,989",3.45,"2,276",114.43,0,2.17,0.01,144,41.94,39.74,"2.2,046,153,846,154"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0307_09A-3972,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"49,544","1,398",2.82,"1,723",123.25,0,1.18,0.01,144,41.94,34.19,"7.7,546,153,846,154"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0309_07A-3990,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"45,200",796,1.76,"1,159",145.6,0,0.12,0,144,41.94,31.19,"10.754,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-17417-0311_05A-4004,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"46,265",926,2,"1,043",112.64,0,0.9,0,144,41.94,31.92,"10.024,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0312_12A-4026,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"37,381",440,1.18,642,145.91,0,0.62,0,144,41.94,25.79,"16.154,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0313_04A-4032,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"56,165",651,1.16,863,132.57,0,0.63,0,144,41.94,38.75,"3.1,946,153,846,154"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0314_10A-4048,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"33,108",440,1.33,479,108.86,0,0.23,0,144,41.94,22.84,"19.104,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0318_03A-4067,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"72,111",542,0.75,379,69.93,0,0.12,0,144,41.94,49.76,"-7.8,153,846,153,846"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0320_02A-4091,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"23,749",121,0.51,23,19.01,0,0.22,0.01,144,41.94,16.39,"25.554,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0322_03A-4127,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"23,542",289,1.23,761,263.32,0,0.9,0,144,41.94,16.24,"25.704,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0324_04A-4145,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"15,864",72,0.45,10,13.89,0,1.26,0.01,144,41.94,10.95,"30.994,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0325_10A-4159,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"15,582",0,0,1,0,0,0.08,0.03,144,41.94,10.75,"31.194,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0325_10A-4159,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"15,648",113,0.72,129,114.16,0,0.08,0.03,144,41.94,10.8,"31.144,615,384,615"
17644-00003995-Alfresco,17644-00003995-Alfresco-Phone Confirmation-29850-0226_01A-3857,"Don?t Wait, Innovate Today with Alfresco's Modern Content Service Platform",225,0,0,"17,436",671,3.85,81,12.07,0,9.94,0.01,"11,025.00","3,381.00",12.03,"3,368.97"
17644-00003995-Alfresco,17644-00003995-Alfresco-Phone Confirmation-29847-0228_07A-3893,Start Pursuing a Successful Cloud-Based Content Management Strategy TODAY,225,0,0,"10,662",475,4.46,74,15.58,0,8.31,0,"11,025.00","3,381.00",7.36,"3,373.64"
17644-00003995-Alfresco,17644-00003995-Alfresco-Phone Confirmation-29844-0304_07A-3925,Achieve Digital Transformation Today with Alfresco,225,0,0,"67,093","3,420",5.1,231,6.75,0,7.77,0,"11,025.00","3,381.00",46.29,"3,334.71"
17644-00003995-Alfresco,17644-00003995-Alfresco-Phone Confirmation-29838-0305_07A-3946,Take Control Now with Alfresco's Information Governance,225,0,0,"22,048",956,4.34,517,54.08,0,4.27,0,"11,025.00","3,381.00",15.21,"3,365.79"
17644-00003995-Alfresco,17644-00003995-Alfresco-Phone Confirmation-29850-0307_08A-3966,"Don?t Wait, Innovate Today with Alfresco's Modern Content Service Platform",225,0,0,"18,407",793,4.31,734,92.56,0,1.46,0,"11,025.00","3,381.00",12.7,"3,368.30"
17644-00004118-Alfresco,17644-00004118-Alfresco-Phone Confirmation-30544-0226_02A-3858,"Don?t Wait, Innovate Today with Alfresco's Modern Content Service Platform",200,0,0,"73,465","2,607",3.55,610,23.4,0,8.61,0.01,"6,000.00","4,350.00",50.69,"4,299.31"
17644-00004118-Alfresco,17644-00004118-Alfresco-Phone Confirmation-305460228_06-0228_06A-3892,Start Pursuing a Successful Cloud-Based Content Management Strategy TODAY,200,0,0,"13,098",472,3.6,77,16.31,0,9.83,0.02,"6,000.00","4,350.00",9.04,"4,340.96"
17644-00004118-Alfresco,17644-00004118-Alfresco-Phone Confirmation-30549-0304_06A-3924,Take Control Now with Alfresco's Information Governance,200,0,0,"80,290","2,189",2.73,334,15.26,0,5.05,0.01,"6,000.00","4,350.00",55.4,"4,294.60"
17661-00003973-GTT,17661-00003973-GTT-Phone Confirmation--A-3639,Explore The Benefits Of SD-WAN & Modernize Your Network!,371,0,0,"26,113",193,0.74,150,77.72,0,0.16,0,"12,614.00","7,752.00",18.02,"7,733.98"
17661-00003973-GTT,"17661-00003973-GTT-Phone Confirmation-28981-0211_04A-3696,3698",Unlock Your Networks Potential By Developing A Strategy With GTT,371,0,0,"37,783",436,1.15,336,77.06,0,1.68,0.01,"12,614.00","7,752.00",26.07,"7,725.93"
17661-00003973-GTT,17661-00003973-GTT-Phone Confirmation-28981-0213_02A-3737,Unlock Your Networks Potential By Developing A Strategy With GTT,371,0,0,"21,628","1,213",5.61,740,61.01,0,19.96,0.05,"12,614.00","7,752.00",14.92,"7,737.08"
17661-00003973-GTT,"17661-00003973-GTT-Phone Confirmation-28981-0213A-3746,3745",Unlock Your Networks Potential By Developing A Strategy With GTT,371,0,0,"334,753","6,118",1.83,"9,126",149.17,0,23.86,0.04,"12,614.00","7,752.00",230.98,"7,521.02"
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0220_01A-3805,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"29,498",829,2.81,186,22.44,0,38.87,0.01,"11,560.00",0,20.35,-20.35
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0222_01A-3817,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"101,919","4,277",4.2,815,19.06,0,20.92,0,"11,560.00",0,70.32,-70.32
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0225_08A-3847,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"33,122",760,2.29,240,31.58,0.01,21.24,0,"11,560.00",0,22.85,-22.85
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30102-0227_14A-3877,Implementing A New Solution This Year? Know The Best Practices For Security Awareness Training TODAY,40,0,0,"130,925","4,737",3.62,"1,168",24.66,0,15.49,0,"11,560.00",0,90.34,-90.34
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0301_11A-3915,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"141,487","3,782",2.67,"1,593",42.12,0,16.58,0,"11,560.00",0,97.63,-97.63
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0305_12A-3939,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"54,027","2,671",4.94,"2,006",75.1,0.01,3.73,0.01,"11,560.00",0,37.28,-37.28
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30102-0307_05A-3970,Implementing A New Solution This Year? Know The Best Practices For Security Awareness Training TODAY,40,0,0,"36,380","1,653",4.54,"1,247",75.44,0,5.42,0,"11,560.00",0,25.1,-25.1
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0311_02A-4000,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"30,839",470,1.52,287,61.06,0,0.2,0,"11,560.00",0,21.28,-21.28
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0313_01A-4035,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"21,603","3,630",16.8,"1,222",33.66,0.01,2.54,0,"11,560.00",0,14.91,-14.91
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0315_01A-4058,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"156,870","5,847",3.73,"4,305",73.63,0,2.37,0,"11,560.00",0,108.24,-108.24
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30102-0318_06A-4072,Implementing A New Solution This Year? Know The Best Practices For Security Awareness Training TODAY,40,0,0,"126,240","1,986",1.57,589,29.66,0,0.52,0,"11,560.00",0,87.11,-87.11
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0319_06A-4093,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"58,740",538,0.92,112,20.82,0,4.11,0,"11,560.00",0,40.53,-40.53
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0321_08A-4105,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"55,075",255,0.46,465,182.35,0,9.73,0,"11,560.00",0,38,-38
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30102-0325_08A-4156,Implementing A New Solution This Year? Know The Best Practices For Security Awareness Training TODAY,40,0,0,"43,067",0,0,1,0,0,0.26,0,"11,560.00",0,29.72,-29.72
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30102-0325_08A-4156,Implementing A New Solution This Year? Know The Best Practices For Security Awareness Training TODAY,40,0,0,"43,071",529,1.23,229,43.29,0,0.26,0,"11,560.00",0,29.72,-29.72
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30097-0327_10A-4174,Need To Implement A New Solution TODAY? Get Mimecast?s Cyber Resilience Strategy NOW,40,0,0,"74,999",550,0.73,249,45.27,0,7.51,0,"11,560.00",0,51.75,-51.75
17774-00004126-Mimecast,17774-00004126-Mimecast-Phone Confirmation-30100-0328_11A-4196,Looking To Implement A New Solution Soon? See Why Awareness Training Matters TODAY With Mimecast,40,0,0,"56,780",605,1.07,126,20.83,0,8.44,0,"11,560.00",0,39.18,-39.18
17780-00004282-Regroup,17780-00004282-Regroup-Phone Confirmation--A-3636,Easy Way To Communicate With Anyone!,17,9,52.94,0,0,0,1,0,0,0,0,"1,360.00",160,0,160
17780-00004282-Regroup,17780-00004282-Regroup-Phone Confirmation--A-3636,Easy Way To Communicate With Anyone!,17,9,52.94,"30,599","1,500",4.9,939,62.6,0,0.5,0,"1,360.00",160,21.11,138.89
17780-00004282-Regroup,17780-00004282-Regroup-Phone Confirmation-29753-0206_08A-3655,See How Easy Regroup Has Made It To Communicate With Anyone,17,9,52.94,"28,793","1,421",4.94,"1,330",93.6,0,0.01,0,"1,360.00",160,19.87,140.13
17780-00004283-Regroup,17780-00004283-Regroup-Phone Confirmation--A-3637,Feels Impossible To Reach All Staff In Any Situation? Regroup Made It Possible! Read on To Learn More!,11,1,9.09,"29,200","1,101",3.77,864,78.47,0,0.76,0,"1,100.00",400,20.15,379.85
17780-00004283-Regroup,17780-00004283-Regroup-Phone Confirmation-29755-0206_07A-3654,Discover how Regroup Made It Possible To Reach All Staff In Any Situation,11,1,9.09,"28,020",524,1.87,400,76.34,0,0.42,0,"1,100.00",400,19.33,380.67
17780-00004283-Regroup,"17780-00004283-Regroup-Phone Confirmation-29755-0212_05A-3700,3699",Learn How Regroup Makes It Possible To Reach All Staff In Any Situation,11,1,9.09,"27,028",392,1.45,272,69.39,0,1.48,0,"1,100.00",400,18.65,381.35
17780-00004284-Regroup,17780-00004284-Regroup-Phone Confirmation--A-3635,Want To Discover An Easy Way To Keep Everyone Safe And Informed? Let Regroup Help You!,5,3,60,"6,426",71,1.1,27,38.03,0,0.81,0,500,500,4.43,495.57
17780-00004284-Regroup,17780-00004284-Regroup-Phone Confirmation--A-3651,Let Regroup Help You Discover An Easy Way To Keep Everyone Safe And Informed,5,3,60,"6,904",71,1.03,42,59.15,0,0.3,0,500,500,4.76,495.24
17780-00004284-Regroup,17780-00004284-Regroup-Phone Confirmation-29740-0207_06A-3668,"Regroup Knows That Every Second Counts, Learn More About Their Emergency Notification Solutions",5,3,60,"4,999",187,3.74,171,91.44,0,28.85,0.56,500,500,3.45,496.55
17780-00004284-Regroup,"17780-00004284-Regroup-Phone Confirmation-29740-0208_07A-3690,3688","Regroup Knows That Every Second Counts, Learn More About Their Emergency Notification Solutions",5,3,60,"7,148",89,1.25,62,69.66,0,1.65,0.14,500,500,4.93,495.07
17780-00004284-Regroup,"17780-00004284-Regroup-Phone Confirmation-29757-0212_10A-3720,3711,3712",Discover An Easy Way To Keep Everyone Safe And Informed With Regroup,5,3,60,"8,112",89,1.1,68,76.4,0,11.28,0.09,500,500,5.6,494.4
17780-00004284-Regroup,"17780-00004284-Regroup-Phone Confirmation-29757-0215_03A-3765,3761",Let Regroup Help You Discover An Easy Way To Keep Everyone Safe And Informed,5,3,60,"14,838",525,3.54,483,92,0,10.24,0.01,500,500,10.24,489.76
17780-00004284-Regroup,"17780-00004284-Regroup-Phone Confirmation-29757-0217_06A-3787,3784",Let Regroup Help You Discover An Easy Way To Keep Everyone Safe And Informed,5,3,60,"7,412",26,0.35,8,30.77,0,19.06,0.05,500,500,5.11,494.89
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29959-0206_01A-3649,Make The Most of Today?s Technology with Catchpoint?s API Monitoring Today,417,16,3.84,"3,543",219,6.18,134,61.19,0,2.88,0,"10,008.00","2,976.00",2.44,"2,973.56"
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29959-0206_01BA-3657,Make The Most of Today?s Technology with Catchpoint?s API Monitoring Today,417,16,3.84,586,54,9.22,49,90.74,0,2.22,0,"10,008.00","2,976.00",0.4,"2,975.60"
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29959-0206_01CA-3661,Make The Most of Today?s Technology with Catchpoint?s API Monitoring Today,417,16,3.84,201,12,5.97,6,50,0,36.32,1,"10,008.00","2,976.00",0.14,"2,975.86"
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29964-0207_04A-3671,Build Your Own Monitoring Solution For Any SaaS Application with Catchpoint,417,16,3.84,"5,013",546,10.89,348,63.74,0,3.99,0.04,"10,008.00","2,976.00",3.46,"2,972.54"
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29964-0207_04BA-3673,Build Your Own Monitoring Solution For Any SaaS Application with Catchpoint,417,16,3.84,499,14,2.81,6,42.86,0,45.29,0.2,"10,008.00","2,976.00",0.34,"2,975.66"
17947-00004279-Catchpoint,"17947-00004279-Catchpoint-Phone Confirmation-29965-0208_05A-3687,3693","Every Experience Matters, Improve Your Digital Experience with Catchpoint",417,16,3.84,"9,459",806,8.52,722,89.58,0,8.14,0.02,"10,008.00","2,976.00",6.53,"2,969.47"
17947-00004279-Catchpoint,"17947-00004279-Catchpoint-Phone Confirmation-29959-0212_01A-3710,3715",Make The Most of Today?s Technology with Catchpoint?s API Monitoring,417,16,3.84,"15,509","1,911",12.32,"1,238",64.78,0.02,6.8,0.04,"10,008.00","2,976.00",10.7,"2,965.30"
17947-00004279-Catchpoint,"17947-00004279-Catchpoint-Phone Confirmation-29965-0213_06A-3734,3740","Every Experience Matters, Improve Your Digital Experience with Catchpoint",417,16,3.84,"123,403","5,278",4.28,"1,775",33.63,0,3.61,0.03,"10,008.00","2,976.00",85.15,"2,890.85"
17947-00004279-Catchpoint,"17947-00004279-Catchpoint-Phone Confirmation-29965-0215_06A-3779,3775","Every Experience Matters, Improve Your Digital Experience with Catchpoint",417,16,3.84,"208,364","4,839",2.32,724,14.96,0,7.69,0.02,"10,008.00","2,976.00",143.77,"2,832.23"
17947-00004279-Catchpoint,17947-00004279-Catchpoint-Phone Confirmation-29964-0219_03A-3797,Build Your Own Monitoring Solution For Any SaaS Application with Catchpoint,417,16,3.84,"64,659","1,844",2.85,339,18.38,0,6.29,0.09,"10,008.00","2,976.00",44.61,"2,931.39"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0207_01A-3650,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"1,404",70,4.99,24,34.29,0,2.85,0,"5,040.00","1,104.00",0.97,"1,103.03"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0207_01BA-3663,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,77,3,3.9,1,33.33,0,36.36,0,"5,040.00","1,104.00",0.05,"1,103.95"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0217_03A-3789,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"1,601",43,2.69,10,23.26,0,5.06,0,"5,040.00","1,104.00",1.1,"1,102.90"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29988-0225_01A-3848,Let ServTrax Show You How To Create A Path To Profit TODAY!,105,8,7.62,"7,678",297,3.87,30,10.1,0.04,13.61,0,"5,040.00","1,104.00",5.3,"1,098.70"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29990-0227_15A-3868,Learn How You Can Grow Your Revenue Stream With ServTrax's Platform TODAY!,105,8,7.62,"4,506",120,2.66,31,25.83,0,15.82,0,"5,040.00","1,104.00",3.11,"1,100.89"
17953-00004281-ServTrax,"17953-00004281-ServTrax-Phone Confirmation-29982-0301_01A-3904,3901",Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"65,712",906,1.38,123,13.58,0.09,38.4,0,"5,040.00","1,104.00",45.34,"1,058.66"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29988-0304_01A-3929,Let ServTrax Show You How To Create A Path To Profit TODAY!,105,8,7.62,"20,903",313,1.5,94,30.03,0.02,23.05,0,"5,040.00","1,104.00",14.42,"1,089.58"
17953-00004281-ServTrax,"17953-00004281-ServTrax-Phone Confirmation-29990-0306_08A-3965,3959",Learn How You Can Grow Your Revenue Stream With ServTrax's Platform TODAY!,105,8,7.62,"28,138",239,0.85,104,43.51,0.01,2.43,0,"5,040.00","1,104.00",19.42,"1,084.58"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0311_08A-4016,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"1,878",65,3.46,20,30.77,0,3.57,0,"5,040.00","1,104.00",1.3,"1,102.70"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29988-0312_13A-4028,Let ServTrax Show You How To Create A Path To Profit TODAY!,105,8,7.62,"5,216",209,4.01,128,61.24,0,0.94,0,"5,040.00","1,104.00",3.6,"1,100.40"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29990-0314_07A-4036,Learn How You Can Grow Your Revenue Stream With ServTrax's Platform TODAY!,105,8,7.62,"2,510",102,4.06,82,80.39,0,5.5,0,"5,040.00","1,104.00",1.73,"1,102.27"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0314_12BA-4052,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"2,414",60,2.49,21,35,0,1.82,0,"5,040.00","1,104.00",1.67,"1,102.33"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29988-0316_04A-4059,Let ServTrax Show You How To Create A Path To Profit TODAY!,105,8,7.62,"2,831",17,0.6,1,5.88,0,0.04,0,"5,040.00","1,104.00",1.95,"1,102.05"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29990-0319_02A-4075,Learn How You Can Grow Your Revenue Stream With ServTrax's Platform TODAY!,105,8,7.62,"3,056",41,1.34,11,26.83,0,0.59,0,"5,040.00","1,104.00",2.11,"1,101.89"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29982-0321_02A-4099,Take A Look At Why Building Customer Relationships Matter TODAY with ServTrax,105,8,7.62,"2,752",20,0.73,2,10,0,2.29,0,"5,040.00","1,104.00",1.9,"1,102.10"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29988-0323_02A-4138,Let ServTrax Show You How To Create A Path To Profit TODAY!,105,8,7.62,"2,838",46,1.62,126,273.91,0,11.42,0,"5,040.00","1,104.00",1.96,"1,102.04"
17953-00004281-ServTrax,17953-00004281-ServTrax-Phone Confirmation-29990-0326_05A-4164,Learn How You Can Grow Your Revenue Stream With ServTrax's Platform TODAY!,105,8,7.62,"1,823",24,1.32,6,25,0,0.27,0,"5,040.00","1,104.00",1.26,"1,102.74"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation--A-3638,Find The Right ERP System TODAY!,411,0,0,"43,670",934,2.14,807,86.4,0,0.27,0,"15,618.00","3,192.00",30.13,"3,161.87"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation-29779-0206_05A-3653,Successfully Select A ERP System NOW With Epicor,411,0,0,"47,678",657,1.38,566,86.15,0,0.11,0,"15,618.00","3,192.00",32.9,"3,159.10"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation-29782-0207_07BA-3669,Expand Your Company Growth NOW With Epicor,411,0,0,"4,496",212,4.72,200,94.34,0,32.96,0.07,"15,618.00","3,192.00",3.1,"3,188.90"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation-29782-0207_07A-3675,Expand Your Company Growth NOW With Epicor,411,0,0,0,0,0,1,0,0,0,0,"15,618.00","3,192.00",0,"3,192"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation-29782-0207_07A-3675,Expand Your Company Growth NOW With Epicor,411,0,0,"4,328",65,1.5,51,78.46,0,0.05,0,"15,618.00","3,192.00",2.99,"3,189.01"
17959-00004290-Epicor,"17959-00004290-Epicor-Phone Confirmation-29795-0208_08A-3692,3691",Let Epicor Get Your Factory Fit For The Future Today,411,0,0,"50,823",716,1.41,528,73.74,0,3.41,0.01,"15,618.00","3,192.00",35.07,"3,156.93"
17959-00004290-Epicor,"17959-00004290-Epicor-Phone Confirmation-29786-0212_04A-3721,3713,3717",Keep Your Business Current And Competitive With Epicor,411,0,0,"46,884",395,0.84,259,65.57,0,0.7,0,"15,618.00","3,192.00",32.35,"3,159.65"
17959-00004290-Epicor,17959-00004290-Epicor-Phone Confirmation-29786-0214_05A-3755,Keep Your Business Current And Competitive With Epicor,411,0,0,0,0,0,1,0,0,0,0,"15,618.00","3,192.00",0,"3,192"
